game_date,player_id,player_name,betting_line,current_pred,current_std,current_prob,twostage_pred,twostage_std,twostage_prob,twostage_minutes_q50,actual_pra,actual_minutes,logged_at,updated_at,team_abbreviation,edge,edge_abs,direction,tier,tier_units,tier_expected_wr,tier_reason
2025-12-21,1629611,Terance Mann,13.5,21.692014694213867,1.6271237134933472,0.9999999972942502,22.837715773041555,10.831146743809832,0.796,24.97153091430664,15.0,25.7,2025-12-21T21:38:02.257408,2025-12-22T20:06:00.217994,BKN,8.192014694213867,8.192014694213867,OVER,HIGH_EDGE,2.0,0.656,Edge 8.2 pts >= 7 (HIGH_EDGE)
2025-12-21,203471,Dennis Schröder,19.5,26.627527236938477,1.7205994129180908,0.9999974575435848,28.135379310734173,12.362975521619015,0.74,25.10984992980957,41.0,31.866666666666667,2025-12-21T21:38:02.043104,2025-12-22T20:05:59.993806,SAC,7.127527236938477,7.127527236938477,OVER,HIGH_EDGE,2.0,0.656,Edge 7.1 pts >= 7 (HIGH_EDGE)
2025-12-21,202696,Nikola Vučević,27.5,34.34343338012695,2.54734206199646,0.9979077598350304,35.95296590925953,11.633747941780111,0.778,29.250045776367188,24.0,30.266666666666666,2025-12-21T21:38:02.200484,2025-12-22T20:06:00.158645,CHI,6.843433380126953,6.843433380126953,OVER,LOW_EDGE,0.5,0.556,Edge 6.8 pts in [5-7) (LOW_EDGE)
2025-12-21,1626157,Karl-Anthony Towns,34.5,41.14787673950195,2.0891754627227783,0.9996024249196552,41.32327168440587,11.256650575616574,0.712,33.952884674072266,10.0,28.783333333333335,2025-12-21T21:38:02.132559,2025-12-22T20:06:00.086314,NYK,6.647876739501953,6.647876739501953,OVER,LOW_EDGE,0.5,0.556,Edge 6.6 pts in [5-7) (LOW_EDGE)
2025-12-21,1629632,Coby White,28.5,34.90742111206055,2.9632482528686523,0.9887584272929058,34.92718479459881,10.269858109199522,0.726,30.810697555541992,28.0,31.066666666666663,2025-12-21T21:38:02.020737,2025-12-22T20:05:59.970943,CHI,6.407421112060547,6.407421112060547,OVER,LOW_EDGE,0.5,0.556,Edge 6.4 pts in [5-7) (LOW_EDGE)
2025-12-21,1628384,OG Anunoby,23.5,29.11565589904785,2.3329832553863525,0.99468764450205,28.8262490346024,10.670014612490608,0.698,32.68048858642578,23.0,33.53333333333333,2025-12-21T21:38:02.211878,2025-12-22T20:06:00.171133,NYK,5.615655899047852,5.615655899047852,OVER,LOW_EDGE,0.5,0.556,Edge 5.6 pts in [5-7) (LOW_EDGE)
2025-12-21,1641824,Matas Buzelis,19.5,24.8928279876709,1.7712925672531128,0.9994680426393368,23.78010404871636,9.863986592311536,0.614,27.916667938232425,31.0,28.883333333333333,2025-12-21T21:38:02.160526,2025-12-22T20:06:00.115415,CHI,5.392827987670898,5.392827987670898,OVER,LOW_EDGE,0.5,0.556,Edge 5.4 pts in [5-7) (LOW_EDGE)
2025-12-21,203468,CJ McCollum,26.5,31.862773895263672,2.521178722381592,0.9872237312102454,30.581826890057386,9.761242548548582,0.636,32.311439514160156,22.0,34.166666666666664,2025-12-21T21:38:02.014879,2025-12-22T20:05:59.965207,WAS,5.362773895263672,5.362773895263672,OVER,LOW_EDGE,0.5,0.556,Edge 5.4 pts in [5-7) (LOW_EDGE)
2025-12-21,1628398,Kyle Kuzma,21.5,26.79108238220215,2.0395944118499756,0.9971275314910952,26.405067629610187,10.39903175024869,0.644,25.43850898742676,26.0,32.166666666666664,2025-12-21T21:38:02.149327,2025-12-22T20:06:00.103725,MIL,5.291082382202148,5.291082382202148,OVER,LOW_EDGE,0.5,0.556,Edge 5.3 pts in [5-7) (LOW_EDGE)
2025-12-21,1628969,Mikal Bridges,24.5,29.685400009155273,2.28955340385437,0.9914811159005092,29.36802123842656,9.813192246815047,0.67,34.1808967590332,30.0,40.13333333333333,2025-12-21T21:38:02.172069,2025-12-22T20:06:00.127037,NYK,5.185400009155273,5.185400009155273,OVER,LOW_EDGE,0.5,0.556,Edge 5.2 pts in [5-7) (LOW_EDGE)
