game_date,player_id,player_name,betting_line,current_pred,current_std,current_prob,twostage_pred,twostage_std,twostage_prob,twostage_minutes_q50,actual_pra,actual_minutes,logged_at,updated_at,team_abbreviation,edge,edge_pct,direction,current_direction,twostage_direction,models_agree,tier,tier_units,tier_expected_wr,tier_reason
2025-12-15,201142,Kevin Durant,33.5,39.44633865356445,3.978749990463257,0.9385766500294692,40.73896259107447,10.33352577799426,0.744,35.267208099365234,,,2025-12-16T01:07:16.334492,,HOU,5.946338653564453,17.75026463750583,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.74 in [0.60-0.75], Edge 17.8%"
2025-12-15,1628389,Bam Adebayo,30.5,36.46247863769531,2.8780388832092285,0.9850010923526304,37.00435463662755,11.03564506617168,0.722,31.96229362487793,,,2025-12-16T01:07:16.247324,,MIA,5.9624786376953125,19.549110287525615,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.72 in [0.60-0.75], Edge 19.5%"
2025-12-15,1630578,Alperen Sengun,36.5,41.149017333984375,2.798452854156494,0.9559428678876049,42.89335949124054,11.016249937517598,0.72,35.52873611450195,,,2025-12-16T01:07:16.227162,,HOU,4.649017333984375,12.737033791738014,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.72 in [0.60-0.75], Edge 12.7%"
2025-12-15,1630230,Naji Marshall,21.5,27.070255279541016,3.134690999984741,0.969716938999872,27.682547765811528,9.506771788165048,0.714,29.72899055480957,,,2025-12-16T01:07:16.354902,,DAL,5.570255279541016,25.908164090888448,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.71 in [0.60-0.75], Edge 25.9%"
2025-12-15,1642843,Cooper Flagg,28.5,32.955623626708984,1.2258235216140747,0.999927750327578,32.76779999690005,8.988369036143702,0.668,33.077110290527344,,,2025-12-16T01:07:16.278666,,DAL,4.455623626708984,15.633767111259594,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.67 in [0.60-0.75], Edge 15.6%"
2025-12-15,1627826,Ivica Zubac,32.5,34.524192810058594,2.1446127891540527,0.8269404601135826,35.79665777466682,8.599939251255346,0.666,34.66046905517578,,,2025-12-16T01:07:16.294504,,LAC,2.0241928100585938,6.228285569411058,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.67 in [0.60-0.75], Edge 6.2%"
2025-12-15,1630558,Davion Mitchell,19.5,22.65505599975586,3.814707756042481,0.7916280845531143,24.076120244962414,12.515562280969752,0.648,25.88819122314453,,,2025-12-16T01:07:16.282636,,MIA,3.1550559997558594,16.17977435772236,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.65 in [0.60-0.75], Edge 16.2%"
2025-12-15,1626181,Norman Powell,27.5,31.665685653686523,2.8522517681121826,0.933137718538386,33.246817464486114,14.316731450593634,0.646,29.412015914916992,,,2025-12-16T01:07:16.362740,,MIA,4.165685653686523,15.147947831587357,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.65 in [0.60-0.75], Edge 15.1%"
2025-12-15,1642907,Cedric Coward,22.5,26.64604377746582,1.1051256656646729,0.9999612570959046,26.77732065139895,9.833334061887255,0.638,28.09016227722168,,,2025-12-16T01:07:16.274764,,MEM,4.14604377746582,18.426861233181423,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.64 in [0.60-0.75], Edge 18.4%"
2025-12-15,201935,James Harden,38.5,42.12493515014648,2.68160080909729,0.9148511470463292,42.63626149349349,10.354110207544052,0.634,35.64040756225586,,,2025-12-16T01:07:16.318465,,LAC,3.6249351501464773,9.415415974406434,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.63 in [0.60-0.75], Edge 9.4%"
2025-12-15,203076,Anthony Davis,37.5,39.91295623779297,3.11224627494812,0.7779772956414782,41.256740222086094,13.30204445477883,0.604,32.27592468261719,,,2025-12-16T01:07:16.239514,,DAL,2.4129562377929688,6.434549967447917,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.60 in [0.60-0.75], Edge 6.4%"
2025-12-15,1631170,Jaime Jaquez Jr.,17.5,20.079233169555664,2.166486978530884,0.8867282943334105,22.200037779369623,13.592607244604512,0.56,23.39687728881836,,,2025-12-16T01:07:16.302488,,MIA,2.579233169555664,14.738475254603795,OVER,OVER,OVER,True,HIGH_VOLATILITY,1.0,0.55,"TwoStage STD 13.6 in [10-15], Prob 0.56"
